"cnty_fips","display_name","Value","theme_range","airqual","PARKS","sev_housing"
41053,"""Polk, (OR)""",49.5,"28.0 - 75.9 (591)",8.5,42,20.4
41055,"""Sherman, (OR)""",-1,,6.7,8,21.5
41057,"""Tillamook, (OR)""",68.8,"28.0 - 75.9 (591)",6.4,16,17.6
41065,"""Wasco, (OR)""",79.5,"76.0 - 91.3 (584)",6.9,32,17.5
41067,"""Washington, (OR)""",50.1,"28.0 - 75.9 (591)",8.8,72,18.5
41069,"""Wheeler, (OR)""",-1,,5.8,2,16.5
41071,"""Yamhill, (OR)""",74.7,"28.0 - 75.9 (591)",8.5,60,18.9
53007,"""Chelan, (WA)""",54.9,"28.0 - 75.9 (591)",6.9,33,18.1
53009,"""Clallam, (WA)""",72.2,"28.0 - 75.9 (591)",5.8,26,16.3
53011,"""Clark, (WA)""",67.8,"28.0 - 75.9 (591)",8.3,57,17
53015,"""Cowlitz, (WA)""",103.3,"91.4 - 108.6 (588)",6.9,37,18.8
53027,"""Grays Harbor, (WA)""",94.1,"91.4 - 108.6 (588)",6.1,30,16.2
53029,"""Island, (WA)""",84.3,"76.0 - 91.3 (584)",7.4,36,15.6
53031,"""Jefferson, (WA)""",72.3,"28.0 - 75.9 (591)",6.1,41,18.7
53033,"""King, (WA)""",68.2,"28.0 - 75.9 (591)",7.5,73,18.5
53035,"""Kitsap, (WA)""",80.5,"76.0 - 91.3 (584)",7,32,16.2
53037,"""Kittitas, (WA)""",79.3,"76.0 - 91.3 (584)",6.7,33,24.2
53039,"""Klickitat, (WA)""",62.2,"28.0 - 75.9 (591)",6.4,14,16
53041,"""Lewis, (WA)""",108.8,"108.7 - 131.0 (582)",6.8,23,18
53045,"""Mason, (WA)""",70.4,"28.0 - 75.9 (591)",5.9,14,17.1
53047,"""Okanogan, (WA)""",89.3,"76.0 - 91.3 (584)",7.1,5,19.1
53049,"""Pacific, (WA)""",165.3,"131.1 - 349.8 (586)",6.2,14,15.4
53053,"""Pierce, (WA)""",100.8,"91.4 - 108.6 (588)",7.1,42,18.3
53055,"""San Juan, (WA)""",32.1,"28.0 - 75.9 (591)",7.3,9,23.7
53057,"""Skagit, (WA)""",72.6,"28.0 - 75.9 (591)",7.5,39,20.4
53059,"""Skamania, (WA)""",60.9,"28.0 - 75.9 (591)",6.2,4,19.5
53061,"""Snohomish, (WA)""",74.7,"28.0 - 75.9 (591)",8.1,44,17.6
53067,"""Thurston, (WA)""",76,"76.0 - 91.3 (584)",7.2,39,17
53069,"""Wahkiakum, (WA)""",89.1,"76.0 - 91.3 (584)",5.9,0,16.6
53073,"""Whatcom, (WA)""",73.3,"28.0 - 75.9 (591)",9.5,36,20.7
53077,"""Yakima, (WA)""",67.2,"28.0 - 75.9 (591)",7.9,48,22.2
04001,"""Apache, (AZ)""",101.2,"91.4 - 108.6 (588)",5.7,4,35
04003,"""Cochise, (AZ)""",104.2,"91.4 - 108.6 (588)",7.5,7,16.5
04005,"""Coconino, (AZ)""",81.6,"76.0 - 91.3 (584)",5.6,32,26.9
04007,"""Gila, (AZ)""",133.8,"131.1 - 349.8 (586)",5.8,3,17
04009,"""Graham, (AZ)""",88.3,"76.0 - 91.3 (584)",6,5,16.4
04011,"""Greenlee, (AZ)""",93.8,"91.4 - 108.6 (588)",5.7,0,14.4
04012,"""La Paz, (AZ)""",147.6,"131.1 - 349.8 (586)",5.7,5,14
04013,"""Maricopa, (AZ)""",80.5,"76.0 - 91.3 (584)",10.6,45,19.3
04015,"""Mohave, (AZ)""",169.6,"131.1 - 349.8 (586)",5.1,12,17.6
04017,"""Navajo, (AZ)""",90.7,"76.0 - 91.3 (584)",5.7,8,26.2
04019,"""Pima, (AZ)""",86.6,"76.0 - 91.3 (584)",7.9,44,20.2
04021,"""Pinal, (AZ)""",71.2,"28.0 - 75.9 (591)",11.7,19,16.6
04023,"""Santa Cruz, (AZ)""",78.1,"76.0 - 91.3 (584)",7.6,14,21.4
04025,"""Yavapai, (AZ)""",89,"76.0 - 91.3 (584)",5.1,30,19.1
04027,"""Yuma, (AZ)""",89.7,"76.0 - 91.3 (584)",8,21,19.7
06003,"""Alpine, (CA)""",-1,,5.6,2,25.3
06019,"""Fresno, (CA)""",105.6,"91.4 - 108.6 (588)",15.3,36,28.6
06025,"""Imperial, (CA)""",76.9,"76.0 - 91.3 (584)",13.5,46,27.9
06027,"""Inyo, (CA)""",67.8,"28.0 - 75.9 (591)",7.3,16,20.3
06029,"""Kern, (CA)""",127.3,"108.7 - 131.0 (582)",19.7,44,25.9
06037,"""Los Angeles, (CA)""",101.7,"91.4 - 108.6 (588)",14.2,57,34.4
06039,"""Madera, (CA)""",84.7,"76.0 - 91.3 (584)",14,30,26.4
06051,"""Mono, (CA)""",40.7,"28.0 - 75.9 (591)",6.1,27,20.6
06059,"""Orange, (CA)""",76.1,"76.0 - 91.3 (584)",10.6,79,28.1
06065,"""Riverside, (CA)""",108.7,"108.7 - 131.0 (582)",14.8,42,26.9
06071,"""San Bernardino, (CA)""",105.8,"91.4 - 108.6 (588)",14.9,37,28
