"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
04019,"""Pima, (AZ)""",86.6,"76.0 - 91.3 (584)",7.2,25.2,19.1
04021,"""Pinal, (AZ)""",71.2,"28.0 - 75.9 (591)",11.3,33.3,27.9
04023,"""Santa Cruz, (AZ)""",78.1,"76.0 - 91.3 (584)",6.5,26.7,19.4
04025,"""Yavapai, (AZ)""",89,"76.0 - 91.3 (584)",7.2,23,20.6
04027,"""Yuma, (AZ)""",89.7,"76.0 - 91.3 (584)",12.9,37.5,25.5
06003,"""Alpine, (CA)""",-1,,4.6,20.9,19
06019,"""Fresno, (CA)""",105.6,"91.4 - 108.6 (588)",10.7,31.4,19.9
06025,"""Imperial, (CA)""",76.9,"76.0 - 91.3 (584)",9,34.6,31.2
06027,"""Inyo, (CA)""",67.8,"28.0 - 75.9 (591)",6.9,27.4,25.3
06029,"""Kern, (CA)""",127.3,"108.7 - 131.0 (582)",9.5,32.2,22.5
06037,"""Los Angeles, (CA)""",101.7,"91.4 - 108.6 (588)",8.1,21.4,16.3
06039,"""Madera, (CA)""",84.7,"76.0 - 91.3 (584)",11.6,35.8,27.6
06051,"""Mono, (CA)""",40.7,"28.0 - 75.9 (591)",5.1,24.6,17.2
06059,"""Orange, (CA)""",76.1,"76.0 - 91.3 (584)",7.8,19,14.9
06065,"""Riverside, (CA)""",108.7,"108.7 - 131.0 (582)",8.7,27,20.3
06071,"""San Bernardino, (CA)""",105.8,"91.4 - 108.6 (588)",9.4,28.6,22.9
06073,"""San Diego, (CA)""",76.3,"76.0 - 91.3 (584)",6.9,20.2,14.3
06107,"""Tulare, (CA)""",120.5,"108.7 - 131.0 (582)",9.3,37.1,26.9
06111,"""Ventura, (CA)""",79.4,"76.0 - 91.3 (584)",8.3,20.3,16.9
08007,"""Archuleta, (CO)""",55.6,"28.0 - 75.9 (591)",3,23.2,12.2
08029,"""Delta, (CO)""",87.9,"76.0 - 91.3 (584)",7,26.6,18.7
08033,"""Dolores, (CO)""",-1,,3.9,19,16.1
08045,"""Garfield, (CO)""",71.5,"28.0 - 75.9 (591)",4.2,23.1,13.9
08051,"""Gunnison, (CO)""",-1,,2.5,16.5,14.6
08053,"""Hinsdale, (CO)""",-1,,3.2,23.4,22.4
08067,"""La Plata, (CO)""",62,"28.0 - 75.9 (591)",4.4,18,13.3
08077,"""Mesa, (CO)""",106.7,"91.4 - 108.6 (588)",7,23.3,14.8
08079,"""Mineral, (CO)""",-1,,3.7,19.4,16.1
08081,"""Moffat, (CO)""",92.4,"91.4 - 108.6 (588)",7.2,26.1,20.9
08083,"""Montezuma, (CO)""",76.8,"76.0 - 91.3 (584)",10.1,27.3,20.5
08085,"""Montrose, (CO)""",78.5,"76.0 - 91.3 (584)",5.7,20.6,16.3
08091,"""Ouray, (CO)""",-1,,4.6,20.5,16.3
08097,"""Pitkin, (CO)""",-1,,1.5,13.2,13.2
08103,"""Rio Blanco, (CO)""",-1,,3.3,25.4,18.3
08107,"""Routt, (CO)""",38.8,"28.0 - 75.9 (591)",2.9,14.8,10.2
08111,"""San Juan, (CO)""",-1,,3.1,23.3,20.2
08113,"""San Miguel, (CO)""",-1,,1.7,17.6,15.2
16001,"""Ada, (ID)""",69.9,"28.0 - 75.9 (591)",7.4,25.3,14.6
16005,"""Bannock, (ID)""",66.7,"28.0 - 75.9 (591)",8.9,32,20.5
16007,"""Bear Lake, (ID)""",126.2,"108.7 - 131.0 (582)",5.9,26.2,18.5
16011,"""Bingham, (ID)""",96.3,"91.4 - 108.6 (588)",11.1,31,25.1
16013,"""Blaine, (ID)""",29.8,"28.0 - 75.9 (591)",3.3,14.6,14
16015,"""Boise, (ID)""",-1,,9.3,30,23.1
16019,"""Bonneville, (ID)""",100.5,"91.4 - 108.6 (588)",8.7,28.9,19.9
16023,"""Butte, (ID)""",-1,,6.6,28.3,26.7
16025,"""Camas, (ID)""",-1,,3.8,23.3,21.4
16027,"""Canyon, (ID)""",103.4,"91.4 - 108.6 (588)",9.1,34.8,24.5
16029,"""Caribou, (ID)""",-1,,11.3,29.8,23.2
16031,"""Cassia, (ID)""",80.1,"76.0 - 91.3 (584)",10.4,37.9,24.2
16033,"""Clark, (ID)""",-1,,2.8,28,21.8
16037,"""Custer, (ID)""",-1,,5.1,27,23.3
16039,"""Elmore, (ID)""",82.7,"76.0 - 91.3 (584)",10.8,35.3,25.6
16041,"""Franklin, (ID)""",54,"28.0 - 75.9 (591)",6.8,33.4,26.9
16043,"""Fremont, (ID)""",92.1,"91.4 - 108.6 (588)",9.9,29.8,21.4
16045,"""Gem, (ID)""",90.6,"76.0 - 91.3 (584)",8.9,37.3,30
16047,"""Gooding, (ID)""",130.9,"108.7 - 131.0 (582)",9.3,33.9,27
16051,"""Jefferson, (ID)""",89.6,"76.0 - 91.3 (584)",10.5,31.7,22.2
16053,"""Jerome, (ID)""",89.4,"76.0 - 91.3 (584)",6.4,31.8,27.9
16063,"""Lincoln, (ID)""",-1,,11.3,28.5,28.9
16065,"""Madison, (ID)""",117.4,"108.7 - 131.0 (582)",9.9,28.5,19.9
16067,"""Minidoka, (ID)""",60.7,"28.0 - 75.9 (591)",11.6,34,28.9
16071,"""Oneida, (ID)""",144,"131.1 - 349.8 (586)",6.2,28.9,21.7
16073,"""Owyhee, (ID)""",98.8,"91.4 - 108.6 (588)",11.8,40,25.3
16075,"""Payette, (ID)""",108.6,"91.4 - 108.6 (588)",9,34.6,29
16077,"""Power, (ID)""",-1,,12.4,35.4,23.4
16081,"""Teton, (ID)""",-1,,4.4,20.9,20.8
