"cnty_fips","display_name","Value","theme_range","total_cost"
04001,"""Apache, (AZ)""",187.2,"175.6 - 204.1 (644)",22677
04003,"""Cochise, (AZ)""",192.8,"175.6 - 204.1 (644)",17560
04005,"""Coconino, (AZ)""",160.8,"148.7 - 175.5 (644)",17955
04007,"""Gila, (AZ)""",210.6,"204.2 - 242.8 (644)",20076
04009,"""Graham, (AZ)""",170.3,"148.7 - 175.5 (644)",17376
04011,"""Greenlee, (AZ)""",197.4,"175.6 - 204.1 (644)",19127
04012,"""La Paz, (AZ)""",262.3,"242.9 - 651.5 (644)",19966
04013,"""Maricopa, (AZ)""",157.1,"148.7 - 175.5 (644)",19040
04015,"""Mohave, (AZ)""",327.3,"242.9 - 651.5 (644)",18018
04017,"""Navajo, (AZ)""",176.2,"175.6 - 204.1 (644)",19206
04019,"""Pima, (AZ)""",168.1,"148.7 - 175.5 (644)",16984
04021,"""Pinal, (AZ)""",141.4,"26.6 - 148.6 (644)",19773
04023,"""Santa Cruz, (AZ)""",165.6,"148.7 - 175.5 (644)",15157
04025,"""Yavapai, (AZ)""",173.1,"148.7 - 175.5 (644)",15689
04027,"""Yuma, (AZ)""",170.4,"148.7 - 175.5 (644)",19375
06003,"""Alpine, (CA)""",191.6,"175.6 - 204.1 (644)",17268
06019,"""Fresno, (CA)""",205.7,"204.2 - 242.8 (644)",17470
06025,"""Imperial, (CA)""",151.3,"148.7 - 175.5 (644)",21548
06027,"""Inyo, (CA)""",188.9,"175.6 - 204.1 (644)",22288
06029,"""Kern, (CA)""",247.1,"242.9 - 651.5 (644)",19678
06037,"""Los Angeles, (CA)""",198.6,"175.6 - 204.1 (644)",23526
06039,"""Madera, (CA)""",173.5,"148.7 - 175.5 (644)",16179
06051,"""Mono, (CA)""",150.9,"148.7 - 175.5 (644)",17133
06059,"""Orange, (CA)""",148.8,"148.7 - 175.5 (644)",20007
06065,"""Riverside, (CA)""",211.7,"204.2 - 242.8 (644)",20221
06071,"""San Bernardino, (CA)""",206.7,"204.2 - 242.8 (644)",22828
06073,"""San Diego, (CA)""",149,"148.7 - 175.5 (644)",20272
06107,"""Tulare, (CA)""",234.9,"204.2 - 242.8 (644)",17324
06111,"""Ventura, (CA)""",156.6,"148.7 - 175.5 (644)",19244
08007,"""Archuleta, (CO)""",136.8,"26.6 - 148.6 (644)",15041
08029,"""Delta, (CO)""",174.5,"148.7 - 175.5 (644)",15367
08033,"""Dolores, (CO)""",130.2,"26.6 - 148.6 (644)",13859
08045,"""Garfield, (CO)""",140.2,"26.6 - 148.6 (644)",18235
08051,"""Gunnison, (CO)""",88.4,"26.6 - 148.6 (644)",19317
08053,"""Hinsdale, (CO)""",114.7,"26.6 - 148.6 (644)",11549
08067,"""La Plata, (CO)""",134.9,"26.6 - 148.6 (644)",14755
08077,"""Mesa, (CO)""",207.6,"204.2 - 242.8 (644)",16041
08079,"""Mineral, (CO)""",139.1,"26.6 - 148.6 (644)",12676
08081,"""Moffat, (CO)""",170.8,"148.7 - 175.5 (644)",22055
08083,"""Montezuma, (CO)""",152.5,"148.7 - 175.5 (644)",14824
08085,"""Montrose, (CO)""",153.1,"148.7 - 175.5 (644)",13446
08091,"""Ouray, (CO)""",84,"26.6 - 148.6 (644)",12211
08097,"""Pitkin, (CO)""",39.7,"26.6 - 148.6 (644)",18145
08103,"""Rio Blanco, (CO)""",130.6,"26.6 - 148.6 (644)",25725
08107,"""Routt, (CO)""",79.8,"26.6 - 148.6 (644)",16423
08111,"""San Juan, (CO)""",117.1,"26.6 - 148.6 (644)",10958
08113,"""San Miguel, (CO)""",38.1,"26.6 - 148.6 (644)",12818
16001,"""Ada, (ID)""",136.9,"26.6 - 148.6 (644)",17677
16005,"""Bannock, (ID)""",132.6,"26.6 - 148.6 (644)",20232
16007,"""Bear Lake, (ID)""",169.5,"148.7 - 175.5 (644)",19431
16011,"""Bingham, (ID)""",183.1,"175.6 - 204.1 (644)",21727
16013,"""Blaine, (ID)""",74.1,"26.6 - 148.6 (644)",17079
16015,"""Boise, (ID)""",119.8,"26.6 - 148.6 (644)",16897
16019,"""Bonneville, (ID)""",194.2,"175.6 - 204.1 (644)",18831
16023,"""Butte, (ID)""",140.1,"26.6 - 148.6 (644)",24167
16025,"""Camas, (ID)""",119.4,"26.6 - 148.6 (644)",19129
16027,"""Canyon, (ID)""",199.6,"175.6 - 204.1 (644)",19100
16029,"""Caribou, (ID)""",152.6,"148.7 - 175.5 (644)",23928
16031,"""Cassia, (ID)""",154.7,"148.7 - 175.5 (644)",17375
16033,"""Clark, (ID)""",161.7,"148.7 - 175.5 (644)",8212
16037,"""Custer, (ID)""",117.7,"26.6 - 148.6 (644)",17879
16039,"""Elmore, (ID)""",153.6,"148.7 - 175.5 (644)",19239
16041,"""Franklin, (ID)""",110.4,"26.6 - 148.6 (644)",16810
16043,"""Fremont, (ID)""",167.7,"148.7 - 175.5 (644)",16774
16045,"""Gem, (ID)""",170,"148.7 - 175.5 (644)",16748
16047,"""Gooding, (ID)""",200.1,"175.6 - 204.1 (644)",24190
16051,"""Jefferson, (ID)""",192.5,"175.6 - 204.1 (644)",15329
16053,"""Jerome, (ID)""",171.3,"148.7 - 175.5 (644)",19740
16063,"""Lincoln, (ID)""",184.7,"175.6 - 204.1 (644)",15717
16065,"""Madison, (ID)""",206.7,"204.2 - 242.8 (644)",17256
16067,"""Minidoka, (ID)""",120.3,"26.6 - 148.6 (644)",20831
16071,"""Oneida, (ID)""",210.4,"204.2 - 242.8 (644)",19592
16073,"""Owyhee, (ID)""",175.8,"175.6 - 204.1 (644)",16449
16075,"""Payette, (ID)""",199.6,"175.6 - 204.1 (644)",16036
16077,"""Power, (ID)""",135.1,"26.6 - 148.6 (644)",16543
16081,"""Teton, (ID)""",117.2,"26.6 - 148.6 (644)",17626
16083,"""Twin Falls, (ID)""",163.8,"148.7 - 175.5 (644)",20151
16087,"""Washington, (ID)""",168.8,"148.7 - 175.5 (644)",18608
32001,"""Churchill, (NV)""",260.4,"242.9 - 651.5 (644)",18094
32003,"""Clark, (NV)""",211.3,"204.2 - 242.8 (644)",22661
32005,"""Douglas, (NV)""",172.6,"148.7 - 175.5 (644)",18944
32007,"""Elko, (NV)""",157.6,"148.7 - 175.5 (644)",17281
32009,"""Esmeralda, (NV)""",186.5,"175.6 - 204.1 (644)",23844
32011,"""Eureka, (NV)""",231.4,"204.2 - 242.8 (644)",22568
32013,"""Humboldt, (NV)""",220.5,"204.2 - 242.8 (644)",20490
32015,"""Lander, (NV)""",230.2,"204.2 - 242.8 (644)",15913
32017,"""Lincoln, (NV)""",169.6,"148.7 - 175.5 (644)",16214
32019,"""Lyon, (NV)""",239.4,"204.2 - 242.8 (644)",17891
32021,"""Mineral, (NV)""",233.8,"204.2 - 242.8 (644)",21821
32023,"""Nye, (NV)""",252.9,"242.9 - 651.5 (644)",20824
32027,"""Pershing, (NV)""",246.4,"242.9 - 651.5 (644)",24526
32029,"""Storey, (NV)""",241.4,"204.2 - 242.8 (644)",16852
32031,"""Washoe, (NV)""",244.6,"242.9 - 651.5 (644)",18252
32033,"""White Pine, (NV)""",182.3,"175.6 - 204.1 (644)",20533
32510,"""Carson City, (NV)""",250.6,"242.9 - 651.5 (644)",17740
35003,"""Catron, (NM)""",231,"204.2 - 242.8 (644)",17442
35006,"""Cibola, (NM)""",192.9,"175.6 - 204.1 (644)",18647
35013,"""Do̱a Ana, (NM)""",154.6,"148.7 - 175.5 (644)",19069
35017,"""Grant, (NM)""",194.2,"175.6 - 204.1 (644)",16291
35023,"""Hidalgo, (NM)""",224.6,"204.2 - 242.8 (644)",19899
35029,"""Luna, (NM)""",255.2,"242.9 - 651.5 (644)",21486
35031,"""McKinley, (NM)""",172.9,"148.7 - 175.5 (644)",20020
35043,"""Sandoval, (NM)""",173.6,"148.7 - 175.5 (644)",16609
35045,"""San Juan, (NM)""",160.3,"148.7 - 175.5 (644)",18293
35051,"""Sierra, (NM)""",330.6,"242.9 - 651.5 (644)",19750
35053,"""Socorro, (NM)""",240.4,"204.2 - 242.8 (644)",15498
35061,"""Valencia, (NM)""",195.1,"175.6 - 204.1 (644)",17285
41023,"""Grant, (OR)""",156,"148.7 - 175.5 (644)",19750
41025,"""Harney, (OR)""",138.2,"26.6 - 148.6 (644)",15363
41045,"""Malheur, (OR)""",201.3,"175.6 - 204.1 (644)",18631
49001,"""Beaver, (UT)""",129.7,"26.6 - 148.6 (644)",21346
49003,"""Box Elder, (UT)""",201.6,"175.6 - 204.1 (644)",16716
49005,"""Cache, (UT)""",97.2,"26.6 - 148.6 (644)",19327
49007,"""Carbon, (UT)""",249.4,"242.9 - 651.5 (644)",17832
49009,"""Daggett, (UT)""",153.3,"148.7 - 175.5 (644)",16662
49011,"""Davis, (UT)""",132.1,"26.6 - 148.6 (644)",17980
49013,"""Duchesne, (UT)""",155.1,"148.7 - 175.5 (644)",14777
49015,"""Emery, (UT)""",219.5,"204.2 - 242.8 (644)",15244
49017,"""Garfield, (UT)""",138.1,"26.6 - 148.6 (644)",22861
49019,"""Grand, (UT)""",138.4,"26.6 - 148.6 (644)",19489
49021,"""Iron, (UT)""",120.5,"26.6 - 148.6 (644)",15332
49023,"""Juab, (UT)""",120.5,"26.6 - 148.6 (644)",22641
49025,"""Kane, (UT)""",162.1,"148.7 - 175.5 (644)",16723
49027,"""Millard, (UT)""",123,"26.6 - 148.6 (644)",17995
49029,"""Morgan, (UT)""",133.6,"26.6 - 148.6 (644)",17847
49031,"""Piute, (UT)""",151.7,"148.7 - 175.5 (644)",19240
49033,"""Rich, (UT)""",133.8,"26.6 - 148.6 (644)",18904
49035,"""Salt Lake, (UT)""",123.5,"26.6 - 148.6 (644)",18701
49037,"""San Juan, (UT)""",131.9,"26.6 - 148.6 (644)",21597
49039,"""Sanpete, (UT)""",139.8,"26.6 - 148.6 (644)",17151
49041,"""Sevier, (UT)""",144.5,"26.6 - 148.6 (644)",16021
49043,"""Summit, (UT)""",115.2,"26.6 - 148.6 (644)",16716
49045,"""Tooele, (UT)""",122.5,"26.6 - 148.6 (644)",20421
49047,"""Uintah, (UT)""",156.2,"148.7 - 175.5 (644)",18443
49049,"""Utah, (UT)""",121,"26.6 - 148.6 (644)",17700
49051,"""Wasatch, (UT)""",125.4,"26.6 - 148.6 (644)",17221
49053,"""Washington, (UT)""",101.8,"26.6 - 148.6 (644)",15479
49055,"""Wayne, (UT)""",147.2,"26.6 - 148.6 (644)",17387
49057,"""Weber, (UT)""",149.2,"148.7 - 175.5 (644)",17962
56003,"""Big Horn, (WY)""",209,"204.2 - 242.8 (644)",19891
56007,"""Carbon, (WY)""",149.2,"148.7 - 175.5 (644)",19418
56013,"""Fremont, (WY)""",183.2,"175.6 - 204.1 (644)",17400
56017,"""Hot Springs, (WY)""",180.9,"175.6 - 204.1 (644)",19603
56023,"""Lincoln, (WY)""",140,"26.6 - 148.6 (644)",17569
56025,"""Natrona, (WY)""",178.7,"175.6 - 204.1 (644)",18448
56029,"""Park, (WY)""",137.7,"26.6 - 148.6 (644)",18816
56035,"""Sublette, (WY)""",133.7,"26.6 - 148.6 (644)",15191
56037,"""Sweetwater, (WY)""",187.6,"175.6 - 204.1 (644)",19907
56039,"""Teton, (WY)""",78.3,"26.6 - 148.6 (644)",15414
56041,"""Uinta, (WY)""",153.3,"148.7 - 175.5 (644)",16287
56043,"""Washakie, (WY)""",149.5,"148.7 - 175.5 (644)",25718
22031,"""De Soto, (LA)""",177.5,"175.6 - 204.1 (644)",21558
48001,"""Anderson, (TX)""",202.1,"175.6 - 204.1 (644)",23051
48005,"""Angelina, (TX)""",228.3,"204.2 - 242.8 (644)",21217
48007,"""Aransas, (TX)""",240.8,"204.2 - 242.8 (644)",19865
48013,"""Atascosa, (TX)""",202.5,"175.6 - 204.1 (644)",21383
48015,"""Austin, (TX)""",237.1,"204.2 - 242.8 (644)",20841
48019,"""Bandera, (TX)""",167.7,"148.7 - 175.5 (644)",16694
48021,"""Bastrop, (TX)""",167.8,"148.7 - 175.5 (644)",20022
48025,"""Bee, (TX)""",192.6,"175.6 - 204.1 (644)",27056
48027,"""Bell, (TX)""",192.1,"175.6 - 204.1 (644)",21163
48029,"""Bexar, (TX)""",174.5,"148.7 - 175.5 (644)",20023
48031,"""Blanco, (TX)""",131,"26.6 - 148.6 (644)",17325
48035,"""Bosque, (TX)""",267.7,"242.9 - 651.5 (644)",18231
