"cnty_fips","display_name","Value","theme_range","ou_cost"
53059,"""Skamania, (WA)""",128,"26.6 - 148.6 (644)",4859
53061,"""Snohomish, (WA)""",144.6,"26.6 - 148.6 (644)",3572
53067,"""Thurston, (WA)""",150.8,"148.7 - 175.5 (644)",2795
53069,"""Wahkiakum, (WA)""",190.1,"175.6 - 204.1 (644)",4833
53073,"""Whatcom, (WA)""",143.3,"26.6 - 148.6 (644)",3574
53077,"""Yakima, (WA)""",134.9,"26.6 - 148.6 (644)",4907
04001,"""Apache, (AZ)""",187.2,"175.6 - 204.1 (644)",5194
04003,"""Cochise, (AZ)""",192.8,"175.6 - 204.1 (644)",3229
04005,"""Coconino, (AZ)""",160.8,"148.7 - 175.5 (644)",3226
04007,"""Gila, (AZ)""",210.6,"204.2 - 242.8 (644)",3763
04009,"""Graham, (AZ)""",170.3,"148.7 - 175.5 (644)",2938
04011,"""Greenlee, (AZ)""",197.4,"175.6 - 204.1 (644)",3102
04012,"""La Paz, (AZ)""",262.3,"242.9 - 651.5 (644)",5311
04013,"""Maricopa, (AZ)""",157.1,"148.7 - 175.5 (644)",2805
04015,"""Mohave, (AZ)""",327.3,"242.9 - 651.5 (644)",3240
04017,"""Navajo, (AZ)""",176.2,"175.6 - 204.1 (644)",4053
04019,"""Pima, (AZ)""",168.1,"148.7 - 175.5 (644)",2823
04021,"""Pinal, (AZ)""",141.4,"26.6 - 148.6 (644)",3205
04023,"""Santa Cruz, (AZ)""",165.6,"148.7 - 175.5 (644)",2504
04025,"""Yavapai, (AZ)""",173.1,"148.7 - 175.5 (644)",3141
04027,"""Yuma, (AZ)""",170.4,"148.7 - 175.5 (644)",3538
06003,"""Alpine, (CA)""",191.6,"175.6 - 204.1 (644)",6509
06019,"""Fresno, (CA)""",205.7,"204.2 - 242.8 (644)",2259
06025,"""Imperial, (CA)""",151.3,"148.7 - 175.5 (644)",3891
06027,"""Inyo, (CA)""",188.9,"175.6 - 204.1 (644)",8478
06029,"""Kern, (CA)""",247.1,"242.9 - 651.5 (644)",2899
06037,"""Los Angeles, (CA)""",198.6,"175.6 - 204.1 (644)",2190
06039,"""Madera, (CA)""",173.5,"148.7 - 175.5 (644)",2183
06051,"""Mono, (CA)""",150.9,"148.7 - 175.5 (644)",6257
06059,"""Orange, (CA)""",148.8,"148.7 - 175.5 (644)",2735
06065,"""Riverside, (CA)""",211.7,"204.2 - 242.8 (644)",3424
06071,"""San Bernardino, (CA)""",206.7,"204.2 - 242.8 (644)",2727
06073,"""San Diego, (CA)""",149,"148.7 - 175.5 (644)",2806
06107,"""Tulare, (CA)""",234.9,"204.2 - 242.8 (644)",2687
06111,"""Ventura, (CA)""",156.6,"148.7 - 175.5 (644)",2330
08007,"""Archuleta, (CO)""",136.8,"26.6 - 148.6 (644)",6049
08029,"""Delta, (CO)""",174.5,"148.7 - 175.5 (644)",4337
08033,"""Dolores, (CO)""",130.2,"26.6 - 148.6 (644)",4721
08045,"""Garfield, (CO)""",140.2,"26.6 - 148.6 (644)",6019
08051,"""Gunnison, (CO)""",88.4,"26.6 - 148.6 (644)",6534
08053,"""Hinsdale, (CO)""",114.7,"26.6 - 148.6 (644)",4193
08067,"""La Plata, (CO)""",134.9,"26.6 - 148.6 (644)",4130
08077,"""Mesa, (CO)""",207.6,"204.2 - 242.8 (644)",3345
08079,"""Mineral, (CO)""",139.1,"26.6 - 148.6 (644)",2826
08081,"""Moffat, (CO)""",170.8,"148.7 - 175.5 (644)",8324
08083,"""Montezuma, (CO)""",152.5,"148.7 - 175.5 (644)",5621
08085,"""Montrose, (CO)""",153.1,"148.7 - 175.5 (644)",3837
08091,"""Ouray, (CO)""",84,"26.6 - 148.6 (644)",3086
08097,"""Pitkin, (CO)""",39.7,"26.6 - 148.6 (644)",7961
08103,"""Rio Blanco, (CO)""",130.6,"26.6 - 148.6 (644)",8733
08107,"""Routt, (CO)""",79.8,"26.6 - 148.6 (644)",4059
