"cnty_fips","display_name","Value","theme_range","total_inc"
16039,"""Elmore, (ID)""",153.6,"148.7 - 175.5 (644)",13303
16041,"""Franklin, (ID)""",110.4,"26.6 - 148.6 (644)",10544
16043,"""Fremont, (ID)""",167.7,"148.7 - 175.5 (644)",10899
16045,"""Gem, (ID)""",170,"148.7 - 175.5 (644)",10431
16047,"""Gooding, (ID)""",200.1,"175.6 - 204.1 (644)",17725
16051,"""Jefferson, (ID)""",192.5,"175.6 - 204.1 (644)",9234
16053,"""Jerome, (ID)""",171.3,"148.7 - 175.5 (644)",13669
16063,"""Lincoln, (ID)""",184.7,"175.6 - 204.1 (644)",9083
16065,"""Madison, (ID)""",206.7,"204.2 - 242.8 (644)",10911
16067,"""Minidoka, (ID)""",120.3,"26.6 - 148.6 (644)",15437
16071,"""Oneida, (ID)""",210.4,"204.2 - 242.8 (644)",13620
16073,"""Owyhee, (ID)""",175.8,"175.6 - 204.1 (644)",9944
16075,"""Payette, (ID)""",199.6,"175.6 - 204.1 (644)",10130
16077,"""Power, (ID)""",135.1,"26.6 - 148.6 (644)",10705
16081,"""Teton, (ID)""",117.2,"26.6 - 148.6 (644)",10883
16083,"""Twin Falls, (ID)""",163.8,"148.7 - 175.5 (644)",13900
16087,"""Washington, (ID)""",168.8,"148.7 - 175.5 (644)",12715
32001,"""Churchill, (NV)""",260.4,"242.9 - 651.5 (644)",12641
32003,"""Clark, (NV)""",211.3,"204.2 - 242.8 (644)",16840
32005,"""Douglas, (NV)""",172.6,"148.7 - 175.5 (644)",12564
32007,"""Elko, (NV)""",157.6,"148.7 - 175.5 (644)",12261
32009,"""Esmeralda, (NV)""",186.5,"175.6 - 204.1 (644)",19576
32011,"""Eureka, (NV)""",231.4,"204.2 - 242.8 (644)",18559
32013,"""Humboldt, (NV)""",220.5,"204.2 - 242.8 (644)",15549
32015,"""Lander, (NV)""",230.2,"204.2 - 242.8 (644)",10715
32017,"""Lincoln, (NV)""",169.6,"148.7 - 175.5 (644)",11634
32019,"""Lyon, (NV)""",239.4,"204.2 - 242.8 (644)",12475
32021,"""Mineral, (NV)""",233.8,"204.2 - 242.8 (644)",16997
32023,"""Nye, (NV)""",252.9,"242.9 - 651.5 (644)",15476
32027,"""Pershing, (NV)""",246.4,"242.9 - 651.5 (644)",18607
32029,"""Storey, (NV)""",241.4,"204.2 - 242.8 (644)",12212
32031,"""Washoe, (NV)""",244.6,"242.9 - 651.5 (644)",12653
32033,"""White Pine, (NV)""",182.3,"175.6 - 204.1 (644)",15267
32510,"""Carson City, (NV)""",250.6,"242.9 - 651.5 (644)",12203
35003,"""Catron, (NM)""",231,"204.2 - 242.8 (644)",13290
35006,"""Cibola, (NM)""",192.9,"175.6 - 204.1 (644)",13441
35013,"""Do̱a Ana, (NM)""",154.6,"148.7 - 175.5 (644)",13680
35017,"""Grant, (NM)""",194.2,"175.6 - 204.1 (644)",11986
35023,"""Hidalgo, (NM)""",224.6,"204.2 - 242.8 (644)",15897
35029,"""Luna, (NM)""",255.2,"242.9 - 651.5 (644)",16951
35031,"""McKinley, (NM)""",172.9,"148.7 - 175.5 (644)",14319
35043,"""Sandoval, (NM)""",173.6,"148.7 - 175.5 (644)",10779
35045,"""San Juan, (NM)""",160.3,"148.7 - 175.5 (644)",12615
35051,"""Sierra, (NM)""",330.6,"242.9 - 651.5 (644)",14847
35053,"""Socorro, (NM)""",240.4,"204.2 - 242.8 (644)",10633
35061,"""Valencia, (NM)""",195.1,"175.6 - 204.1 (644)",12478
41023,"""Grant, (OR)""",156,"148.7 - 175.5 (644)",14322
41025,"""Harney, (OR)""",138.2,"26.6 - 148.6 (644)",9684
41045,"""Malheur, (OR)""",201.3,"175.6 - 204.1 (644)",13002
49001,"""Beaver, (UT)""",129.7,"26.6 - 148.6 (644)",15491
49003,"""Box Elder, (UT)""",201.6,"175.6 - 204.1 (644)",10578
49005,"""Cache, (UT)""",97.2,"26.6 - 148.6 (644)",12011
