"cnty_fips","display_name","Value","theme_range","pac_inc"
08053,"""Hinsdale, (CO)""",114.7,"26.6 - 148.6 (644)",564
08067,"""La Plata, (CO)""",134.9,"26.6 - 148.6 (644)",1396
08077,"""Mesa, (CO)""",207.6,"204.2 - 242.8 (644)",2088
08079,"""Mineral, (CO)""",139.1,"26.6 - 148.6 (644)",3558
08081,"""Moffat, (CO)""",170.8,"148.7 - 175.5 (644)",2774
08083,"""Montezuma, (CO)""",152.5,"148.7 - 175.5 (644)",1256
08085,"""Montrose, (CO)""",153.1,"148.7 - 175.5 (644)",1307
08091,"""Ouray, (CO)""",84,"26.6 - 148.6 (644)",1584
08097,"""Pitkin, (CO)""",39.7,"26.6 - 148.6 (644)",1401
08103,"""Rio Blanco, (CO)""",130.6,"26.6 - 148.6 (644)",7147
08107,"""Routt, (CO)""",79.8,"26.6 - 148.6 (644)",2057
08111,"""San Juan, (CO)""",117.1,"26.6 - 148.6 (644)",1258
08113,"""San Miguel, (CO)""",38.1,"26.6 - 148.6 (644)",431
16001,"""Ada, (ID)""",136.9,"26.6 - 148.6 (644)",2220
16005,"""Bannock, (ID)""",132.6,"26.6 - 148.6 (644)",2956
16007,"""Bear Lake, (ID)""",169.5,"148.7 - 175.5 (644)",3143
16011,"""Bingham, (ID)""",183.1,"175.6 - 204.1 (644)",2976
16013,"""Blaine, (ID)""",74.1,"26.6 - 148.6 (644)",1331
16015,"""Boise, (ID)""",119.8,"26.6 - 148.6 (644)",2792
16019,"""Bonneville, (ID)""",194.2,"175.6 - 204.1 (644)",2455
16023,"""Butte, (ID)""",140.1,"26.6 - 148.6 (644)",4994
16025,"""Camas, (ID)""",119.4,"26.6 - 148.6 (644)",1337
16027,"""Canyon, (ID)""",199.6,"175.6 - 204.1 (644)",2682
16029,"""Caribou, (ID)""",152.6,"148.7 - 175.5 (644)",3184
16031,"""Cassia, (ID)""",154.7,"148.7 - 175.5 (644)",1580
16033,"""Clark, (ID)""",161.7,"148.7 - 175.5 (644)",274
16037,"""Custer, (ID)""",117.7,"26.6 - 148.6 (644)",3303
16039,"""Elmore, (ID)""",153.6,"148.7 - 175.5 (644)",3210
16041,"""Franklin, (ID)""",110.4,"26.6 - 148.6 (644)",2566
16043,"""Fremont, (ID)""",167.7,"148.7 - 175.5 (644)",1996
16045,"""Gem, (ID)""",170,"148.7 - 175.5 (644)",2705
16047,"""Gooding, (ID)""",200.1,"175.6 - 204.1 (644)",5046
16051,"""Jefferson, (ID)""",192.5,"175.6 - 204.1 (644)",1778
16053,"""Jerome, (ID)""",171.3,"148.7 - 175.5 (644)",3053
16063,"""Lincoln, (ID)""",184.7,"175.6 - 204.1 (644)",1437
16065,"""Madison, (ID)""",206.7,"204.2 - 242.8 (644)",2699
16067,"""Minidoka, (ID)""",120.3,"26.6 - 148.6 (644)",3361
16071,"""Oneida, (ID)""",210.4,"204.2 - 242.8 (644)",3668
16073,"""Owyhee, (ID)""",175.8,"175.6 - 204.1 (644)",1315
16075,"""Payette, (ID)""",199.6,"175.6 - 204.1 (644)",1921
16077,"""Power, (ID)""",135.1,"26.6 - 148.6 (644)",2205
16081,"""Teton, (ID)""",117.2,"26.6 - 148.6 (644)",1759
16083,"""Twin Falls, (ID)""",163.8,"148.7 - 175.5 (644)",2933
16087,"""Washington, (ID)""",168.8,"148.7 - 175.5 (644)",3632
32001,"""Churchill, (NV)""",260.4,"242.9 - 651.5 (644)",2716
32003,"""Clark, (NV)""",211.3,"204.2 - 242.8 (644)",4856
32005,"""Douglas, (NV)""",172.6,"148.7 - 175.5 (644)",2138
32007,"""Elko, (NV)""",157.6,"148.7 - 175.5 (644)",2557
32009,"""Esmeralda, (NV)""",186.5,"175.6 - 204.1 (644)",3391
32011,"""Eureka, (NV)""",231.4,"204.2 - 242.8 (644)",5137
32013,"""Humboldt, (NV)""",220.5,"204.2 - 242.8 (644)",3047
