"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",13.2,36.7,26.3
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",4.6,25.6,18.5
41029,"""Jackson, (OR)""",110.3,"26.6 - 148.6 (644)",8.5,24,14.3
41031,"""Jefferson, (OR)""",155.2,"148.7 - 175.5 (644)",17.5,43.3,23
41033,"""Josephine, (OR)""",119.2,"26.6 - 148.6 (644)",8.6,31.2,19
41035,"""Klamath, (OR)""",149.7,"148.7 - 175.5 (644)",10.3,33.1,21.8
41037,"""Lake, (OR)""",155.7,"148.7 - 175.5 (644)",12,34.3,29.8
41039,"""Lane, (OR)""",110.5,"26.6 - 148.6 (644)",7.6,27.1,16.9
41041,"""Lincoln, (OR)""",121.7,"26.6 - 148.6 (644)",8.4,36,19.4
41043,"""Linn, (OR)""",164.3,"148.7 - 175.5 (644)",8.9,36.2,20.1
41047,"""Marion, (OR)""",124.2,"26.6 - 148.6 (644)",8.9,34,17.6
41051,"""Multnomah, (OR)""",124.5,"26.6 - 148.6 (644)",8.1,23.6,13.8
41053,"""Polk, (OR)""",103.5,"26.6 - 148.6 (644)",10.5,34.8,18.1
41055,"""Sherman, (OR)""",148.4,"26.6 - 148.6 (644)",3.9,28.3,26.1
41057,"""Tillamook, (OR)""",127.8,"26.6 - 148.6 (644)",4.7,32.9,23.1
41065,"""Wasco, (OR)""",134.9,"26.6 - 148.6 (644)",3.5,28.2,20.7
41067,"""Washington, (OR)""",98.5,"26.6 - 148.6 (644)",7.7,29.7,14.2
41069,"""Wheeler, (OR)""",164.2,"148.7 - 175.5 (644)",14.3,26.1,24.5
41071,"""Yamhill, (OR)""",136.6,"26.6 - 148.6 (644)",9.7,33.4,22.9
53007,"""Chelan, (WA)""",126.3,"26.6 - 148.6 (644)",5.3,26.3,17.4
53009,"""Clallam, (WA)""",141.2,"26.6 - 148.6 (644)",8.6,29,18.7
53011,"""Clark, (WA)""",132.4,"26.6 - 148.6 (644)",9,30,16.9
53015,"""Cowlitz, (WA)""",197.6,"175.6 - 204.1 (644)",9.4,34.7,21.6
53027,"""Grays Harbor, (WA)""",179.1,"175.6 - 204.1 (644)",10.6,35.8,22.8
53029,"""Island, (WA)""",149.2,"148.7 - 175.5 (644)",6.2,29.4,15.8
53031,"""Jefferson, (WA)""",146.6,"26.6 - 148.6 (644)",4.8,23.8,10.4
53033,"""King, (WA)""",133.1,"26.6 - 148.6 (644)",7.1,21.9,13.4
53035,"""Kitsap, (WA)""",159.7,"148.7 - 175.5 (644)",7.2,30.7,15.9
53037,"""Kittitas, (WA)""",152.8,"148.7 - 175.5 (644)",6.1,27.5,20.9
53039,"""Klickitat, (WA)""",129,"26.6 - 148.6 (644)",8.5,29.5,18.3
53041,"""Lewis, (WA)""",209.3,"204.2 - 242.8 (644)",8.2,35.2,23
53045,"""Mason, (WA)""",146.9,"26.6 - 148.6 (644)",9.4,36.2,21.7
53047,"""Okanogan, (WA)""",170.5,"148.7 - 175.5 (644)",8.5,33.3,22.1
53049,"""Pacific, (WA)""",296.5,"242.9 - 651.5 (644)",11,33.8,22.7
53053,"""Pierce, (WA)""",195.8,"175.6 - 204.1 (644)",9,31,18.8
53055,"""San Juan, (WA)""",104.5,"26.6 - 148.6 (644)",3.3,17,12.7
53057,"""Skagit, (WA)""",141.7,"26.6 - 148.6 (644)",8.8,29.2,15.7
53059,"""Skamania, (WA)""",128,"26.6 - 148.6 (644)",8.4,33.1,16.9
53061,"""Snohomish, (WA)""",144.6,"26.6 - 148.6 (644)",7.7,28.6,17.6
53067,"""Thurston, (WA)""",150.8,"148.7 - 175.5 (644)",9.1,29.8,16.1
53069,"""Wahkiakum, (WA)""",190.1,"175.6 - 204.1 (644)",9.1,35.6,22
53073,"""Whatcom, (WA)""",143.3,"26.6 - 148.6 (644)",7.5,27.8,14
53077,"""Yakima, (WA)""",134.9,"26.6 - 148.6 (644)",10.7,35,22.3
04001,"""Apache, (AZ)""",187.2,"175.6 - 204.1 (644)",15.4,33.7,26.5
04003,"""Cochise, (AZ)""",192.8,"175.6 - 204.1 (644)",8.4,30,23.4
04005,"""Coconino, (AZ)""",160.8,"148.7 - 175.5 (644)",7.7,23.8,17.1
04007,"""Gila, (AZ)""",210.6,"204.2 - 242.8 (644)",12,32.8,24.9
04009,"""Graham, (AZ)""",170.3,"148.7 - 175.5 (644)",9.6,34.9,23.1
04011,"""Greenlee, (AZ)""",197.4,"175.6 - 204.1 (644)",11.3,29.3,22.1
04012,"""La Paz, (AZ)""",262.3,"242.9 - 651.5 (644)",9.5,31.5,38.7
04013,"""Maricopa, (AZ)""",157.1,"148.7 - 175.5 (644)",8.2,26.9,20
04015,"""Mohave, (AZ)""",327.3,"242.9 - 651.5 (644)",10.1,32.2,29.6
04017,"""Navajo, (AZ)""",176.2,"175.6 - 204.1 (644)",13.6,34.3,27.9
04019,"""Pima, (AZ)""",168.1,"148.7 - 175.5 (644)",7.2,25.2,19.1
04021,"""Pinal, (AZ)""",141.4,"26.6 - 148.6 (644)",11.3,33.3,27.9
04023,"""Santa Cruz, (AZ)""",165.6,"148.7 - 175.5 (644)",6.5,26.7,19.4
04025,"""Yavapai, (AZ)""",173.1,"148.7 - 175.5 (644)",7.2,23,20.6
04027,"""Yuma, (AZ)""",170.4,"148.7 - 175.5 (644)",12.9,37.5,25.5
