"cnty_fips","display_name","Value","theme_range","pac_cost"
53073,"""Whatcom, (WA)""",143.3,"26.6 - 148.6 (644)",2657
53077,"""Yakima, (WA)""",134.9,"26.6 - 148.6 (644)",2730
04001,"""Apache, (AZ)""",187.2,"175.6 - 204.1 (644)",2916
04003,"""Cochise, (AZ)""",192.8,"175.6 - 204.1 (644)",2538
04005,"""Coconino, (AZ)""",160.8,"148.7 - 175.5 (644)",2581
04007,"""Gila, (AZ)""",210.6,"204.2 - 242.8 (644)",3005
04009,"""Graham, (AZ)""",170.3,"148.7 - 175.5 (644)",2969
04011,"""Greenlee, (AZ)""",197.4,"175.6 - 204.1 (644)",2288
04012,"""La Paz, (AZ)""",262.3,"242.9 - 651.5 (644)",2657
04013,"""Maricopa, (AZ)""",157.1,"148.7 - 175.5 (644)",2721
04015,"""Mohave, (AZ)""",327.3,"242.9 - 651.5 (644)",2387
04017,"""Navajo, (AZ)""",176.2,"175.6 - 204.1 (644)",2195
04019,"""Pima, (AZ)""",168.1,"148.7 - 175.5 (644)",2753
04021,"""Pinal, (AZ)""",141.4,"26.6 - 148.6 (644)",2717
04023,"""Santa Cruz, (AZ)""",165.6,"148.7 - 175.5 (644)",2040
04025,"""Yavapai, (AZ)""",173.1,"148.7 - 175.5 (644)",2127
04027,"""Yuma, (AZ)""",170.4,"148.7 - 175.5 (644)",3484
06003,"""Alpine, (CA)""",191.6,"175.6 - 204.1 (644)",1818
06019,"""Fresno, (CA)""",205.7,"204.2 - 242.8 (644)",2979
06025,"""Imperial, (CA)""",151.3,"148.7 - 175.5 (644)",4314
06027,"""Inyo, (CA)""",188.9,"175.6 - 204.1 (644)",2595
06029,"""Kern, (CA)""",247.1,"242.9 - 651.5 (644)",3612
06037,"""Los Angeles, (CA)""",198.6,"175.6 - 204.1 (644)",6195
06039,"""Madera, (CA)""",173.5,"148.7 - 175.5 (644)",2593
06051,"""Mono, (CA)""",150.9,"148.7 - 175.5 (644)",1635
06059,"""Orange, (CA)""",148.8,"148.7 - 175.5 (644)",3961
06065,"""Riverside, (CA)""",211.7,"204.2 - 242.8 (644)",3646
06071,"""San Bernardino, (CA)""",206.7,"204.2 - 242.8 (644)",5347
06073,"""San Diego, (CA)""",149,"148.7 - 175.5 (644)",4149
06107,"""Tulare, (CA)""",234.9,"204.2 - 242.8 (644)",2728
06111,"""Ventura, (CA)""",156.6,"148.7 - 175.5 (644)",3236
08007,"""Archuleta, (CO)""",136.8,"26.6 - 148.6 (644)",1800
08029,"""Delta, (CO)""",174.5,"148.7 - 175.5 (644)",2103
08033,"""Dolores, (CO)""",130.2,"26.6 - 148.6 (644)",1324
08045,"""Garfield, (CO)""",140.2,"26.6 - 148.6 (644)",2746
08051,"""Gunnison, (CO)""",88.4,"26.6 - 148.6 (644)",2943
08053,"""Hinsdale, (CO)""",114.7,"26.6 - 148.6 (644)",1480
08067,"""La Plata, (CO)""",134.9,"26.6 - 148.6 (644)",2176
08077,"""Mesa, (CO)""",207.6,"204.2 - 242.8 (644)",2701
08079,"""Mineral, (CO)""",139.1,"26.6 - 148.6 (644)",3895
08081,"""Moffat, (CO)""",170.8,"148.7 - 175.5 (644)",3771
