"cnty_fips","display_name","Value","theme_range","prev_hd"
06073,"""San Diego, (CA)""",149,"148.7 - 175.5 (644)",30.9
06107,"""Tulare, (CA)""",234.9,"204.2 - 242.8 (644)",38.1
06111,"""Ventura, (CA)""",156.6,"148.7 - 175.5 (644)",35
08007,"""Archuleta, (CO)""",136.8,"26.6 - 148.6 (644)",23.8
08029,"""Delta, (CO)""",174.5,"148.7 - 175.5 (644)",24.7
08033,"""Dolores, (CO)""",130.2,"26.6 - 148.6 (644)",25.8
08045,"""Garfield, (CO)""",140.2,"26.6 - 148.6 (644)",27.6
08051,"""Gunnison, (CO)""",88.4,"26.6 - 148.6 (644)",23.5
08053,"""Hinsdale, (CO)""",114.7,"26.6 - 148.6 (644)",28
08067,"""La Plata, (CO)""",134.9,"26.6 - 148.6 (644)",25.8
08077,"""Mesa, (CO)""",207.6,"204.2 - 242.8 (644)",23.7
08079,"""Mineral, (CO)""",139.1,"26.6 - 148.6 (644)",26.4
08081,"""Moffat, (CO)""",170.8,"148.7 - 175.5 (644)",28.3
08083,"""Montezuma, (CO)""",152.5,"148.7 - 175.5 (644)",25.8
08085,"""Montrose, (CO)""",153.1,"148.7 - 175.5 (644)",23.5
08091,"""Ouray, (CO)""",84,"26.6 - 148.6 (644)",18
08097,"""Pitkin, (CO)""",39.7,"26.6 - 148.6 (644)",31.5
08103,"""Rio Blanco, (CO)""",130.6,"26.6 - 148.6 (644)",27.8
08107,"""Routt, (CO)""",79.8,"26.6 - 148.6 (644)",23.2
08111,"""San Juan, (CO)""",117.1,"26.6 - 148.6 (644)",25.3
08113,"""San Miguel, (CO)""",38.1,"26.6 - 148.6 (644)",19.5
16001,"""Ada, (ID)""",136.9,"26.6 - 148.6 (644)",28
16005,"""Bannock, (ID)""",132.6,"26.6 - 148.6 (644)",30.2
16007,"""Bear Lake, (ID)""",169.5,"148.7 - 175.5 (644)",27
16011,"""Bingham, (ID)""",183.1,"175.6 - 204.1 (644)",31.1
16013,"""Blaine, (ID)""",74.1,"26.6 - 148.6 (644)",23.6
16015,"""Boise, (ID)""",119.8,"26.6 - 148.6 (644)",27.8
16019,"""Bonneville, (ID)""",194.2,"175.6 - 204.1 (644)",29.5
16023,"""Butte, (ID)""",140.1,"26.6 - 148.6 (644)",32.3
16025,"""Camas, (ID)""",119.4,"26.6 - 148.6 (644)",29.7
16027,"""Canyon, (ID)""",199.6,"175.6 - 204.1 (644)",30.1
16029,"""Caribou, (ID)""",152.6,"148.7 - 175.5 (644)",26
16031,"""Cassia, (ID)""",154.7,"148.7 - 175.5 (644)",28.3
16033,"""Clark, (ID)""",161.7,"148.7 - 175.5 (644)",30.8
16037,"""Custer, (ID)""",117.7,"26.6 - 148.6 (644)",26.5
16039,"""Elmore, (ID)""",153.6,"148.7 - 175.5 (644)",31.3
16041,"""Franklin, (ID)""",110.4,"26.6 - 148.6 (644)",32.1
16043,"""Fremont, (ID)""",167.7,"148.7 - 175.5 (644)",28.9
16045,"""Gem, (ID)""",170,"148.7 - 175.5 (644)",27
16047,"""Gooding, (ID)""",200.1,"175.6 - 204.1 (644)",32.3
16051,"""Jefferson, (ID)""",192.5,"175.6 - 204.1 (644)",31.6
16053,"""Jerome, (ID)""",171.3,"148.7 - 175.5 (644)",28.8
16063,"""Lincoln, (ID)""",184.7,"175.6 - 204.1 (644)",30.3
16065,"""Madison, (ID)""",206.7,"204.2 - 242.8 (644)",27.3
16067,"""Minidoka, (ID)""",120.3,"26.6 - 148.6 (644)",27
16071,"""Oneida, (ID)""",210.4,"204.2 - 242.8 (644)",33.6
16073,"""Owyhee, (ID)""",175.8,"175.6 - 204.1 (644)",27.4
16075,"""Payette, (ID)""",199.6,"175.6 - 204.1 (644)",28.7
16077,"""Power, (ID)""",135.1,"26.6 - 148.6 (644)",30.3
16081,"""Teton, (ID)""",117.2,"26.6 - 148.6 (644)",24
16083,"""Twin Falls, (ID)""",163.8,"148.7 - 175.5 (644)",29.8
16087,"""Washington, (ID)""",168.8,"148.7 - 175.5 (644)",29.3
32001,"""Churchill, (NV)""",260.4,"242.9 - 651.5 (644)",31.1
32003,"""Clark, (NV)""",211.3,"204.2 - 242.8 (644)",35
32005,"""Douglas, (NV)""",172.6,"148.7 - 175.5 (644)",27
32007,"""Elko, (NV)""",157.6,"148.7 - 175.5 (644)",30.5
32009,"""Esmeralda, (NV)""",186.5,"175.6 - 204.1 (644)",22.1
32011,"""Eureka, (NV)""",231.4,"204.2 - 242.8 (644)",25.6
32013,"""Humboldt, (NV)""",220.5,"204.2 - 242.8 (644)",28.5
32015,"""Lander, (NV)""",230.2,"204.2 - 242.8 (644)",27.7
32017,"""Lincoln, (NV)""",169.6,"148.7 - 175.5 (644)",32.5
32019,"""Lyon, (NV)""",239.4,"204.2 - 242.8 (644)",29.2
32021,"""Mineral, (NV)""",233.8,"204.2 - 242.8 (644)",29.2
32023,"""Nye, (NV)""",252.9,"242.9 - 651.5 (644)",34.8
32027,"""Pershing, (NV)""",246.4,"242.9 - 651.5 (644)",28.3
32029,"""Storey, (NV)""",241.4,"204.2 - 242.8 (644)",27.6
32031,"""Washoe, (NV)""",244.6,"242.9 - 651.5 (644)",28
32033,"""White Pine, (NV)""",182.3,"175.6 - 204.1 (644)",30.1
32510,"""Carson City, (NV)""",250.6,"242.9 - 651.5 (644)",28.6
35003,"""Catron, (NM)""",231,"204.2 - 242.8 (644)",21.2
35006,"""Cibola, (NM)""",192.9,"175.6 - 204.1 (644)",25.8
35013,"""Do̱a Ana, (NM)""",154.6,"148.7 - 175.5 (644)",33.1
35017,"""Grant, (NM)""",194.2,"175.6 - 204.1 (644)",25.8
35023,"""Hidalgo, (NM)""",224.6,"204.2 - 242.8 (644)",25.3
35029,"""Luna, (NM)""",255.2,"242.9 - 651.5 (644)",33.3
35031,"""McKinley, (NM)""",172.9,"148.7 - 175.5 (644)",25.9
35043,"""Sandoval, (NM)""",173.6,"148.7 - 175.5 (644)",26.3
35045,"""San Juan, (NM)""",160.3,"148.7 - 175.5 (644)",30.5
35051,"""Sierra, (NM)""",330.6,"242.9 - 651.5 (644)",32.2
35053,"""Socorro, (NM)""",240.4,"204.2 - 242.8 (644)",28.6
35061,"""Valencia, (NM)""",195.1,"175.6 - 204.1 (644)",28.6
41023,"""Grant, (OR)""",156,"148.7 - 175.5 (644)",26.5
41025,"""Harney, (OR)""",138.2,"26.6 - 148.6 (644)",29.2
41045,"""Malheur, (OR)""",201.3,"175.6 - 204.1 (644)",30
49001,"""Beaver, (UT)""",129.7,"26.6 - 148.6 (644)",32.1
49003,"""Box Elder, (UT)""",201.6,"175.6 - 204.1 (644)",30.6
