"cnty_fips","display_name","Value","theme_range","inp_inc"
06059,"""Orange, (CA)""",148.8,"148.7 - 175.5 (644)",5079
06065,"""Riverside, (CA)""",211.7,"204.2 - 242.8 (644)",5522
06071,"""San Bernardino, (CA)""",206.7,"204.2 - 242.8 (644)",6967
06073,"""San Diego, (CA)""",149,"148.7 - 175.5 (644)",5738
06107,"""Tulare, (CA)""",234.9,"204.2 - 242.8 (644)",4873
06111,"""Ventura, (CA)""",156.6,"148.7 - 175.5 (644)",5175
08007,"""Archuleta, (CO)""",136.8,"26.6 - 148.6 (644)",2789
08029,"""Delta, (CO)""",174.5,"148.7 - 175.5 (644)",3861
08033,"""Dolores, (CO)""",130.2,"26.6 - 148.6 (644)",4636
08045,"""Garfield, (CO)""",140.2,"26.6 - 148.6 (644)",4358
08051,"""Gunnison, (CO)""",88.4,"26.6 - 148.6 (644)",4976
08053,"""Hinsdale, (CO)""",114.7,"26.6 - 148.6 (644)",1085
08067,"""La Plata, (CO)""",134.9,"26.6 - 148.6 (644)",3242
08077,"""Mesa, (CO)""",207.6,"204.2 - 242.8 (644)",4105
08079,"""Mineral, (CO)""",139.1,"26.6 - 148.6 (644)",1634
08081,"""Moffat, (CO)""",170.8,"148.7 - 175.5 (644)",5197
08083,"""Montezuma, (CO)""",152.5,"148.7 - 175.5 (644)",3157
08085,"""Montrose, (CO)""",153.1,"148.7 - 175.5 (644)",2053
08091,"""Ouray, (CO)""",84,"26.6 - 148.6 (644)",2043
08097,"""Pitkin, (CO)""",39.7,"26.6 - 148.6 (644)",3397
08103,"""Rio Blanco, (CO)""",130.6,"26.6 - 148.6 (644)",4178
08107,"""Routt, (CO)""",79.8,"26.6 - 148.6 (644)",4079
08111,"""San Juan, (CO)""",117.1,"26.6 - 148.6 (644)",602
08113,"""San Miguel, (CO)""",38.1,"26.6 - 148.6 (644)",2828
16001,"""Ada, (ID)""",136.9,"26.6 - 148.6 (644)",4465
16005,"""Bannock, (ID)""",132.6,"26.6 - 148.6 (644)",5286
16007,"""Bear Lake, (ID)""",169.5,"148.7 - 175.5 (644)",4044
16011,"""Bingham, (ID)""",183.1,"175.6 - 204.1 (644)",4839
16013,"""Blaine, (ID)""",74.1,"26.6 - 148.6 (644)",3739
16015,"""Boise, (ID)""",119.8,"26.6 - 148.6 (644)",4819
16019,"""Bonneville, (ID)""",194.2,"175.6 - 204.1 (644)",3857
16023,"""Butte, (ID)""",140.1,"26.6 - 148.6 (644)",4844
16025,"""Camas, (ID)""",119.4,"26.6 - 148.6 (644)",4064
16027,"""Canyon, (ID)""",199.6,"175.6 - 204.1 (644)",5136
16029,"""Caribou, (ID)""",152.6,"148.7 - 175.5 (644)",5963
16031,"""Cassia, (ID)""",154.7,"148.7 - 175.5 (644)",4219
16033,"""Clark, (ID)""",161.7,"148.7 - 175.5 (644)",2206
16037,"""Custer, (ID)""",117.7,"26.6 - 148.6 (644)",3795
16039,"""Elmore, (ID)""",153.6,"148.7 - 175.5 (644)",4901
16041,"""Franklin, (ID)""",110.4,"26.6 - 148.6 (644)",3910
16043,"""Fremont, (ID)""",167.7,"148.7 - 175.5 (644)",4117
16045,"""Gem, (ID)""",170,"148.7 - 175.5 (644)",3285
16047,"""Gooding, (ID)""",200.1,"175.6 - 204.1 (644)",6720
16051,"""Jefferson, (ID)""",192.5,"175.6 - 204.1 (644)",3127
16053,"""Jerome, (ID)""",171.3,"148.7 - 175.5 (644)",5150
16063,"""Lincoln, (ID)""",184.7,"175.6 - 204.1 (644)",4190
16065,"""Madison, (ID)""",206.7,"204.2 - 242.8 (644)",2749
16067,"""Minidoka, (ID)""",120.3,"26.6 - 148.6 (644)",6461
16071,"""Oneida, (ID)""",210.4,"204.2 - 242.8 (644)",5688
16073,"""Owyhee, (ID)""",175.8,"175.6 - 204.1 (644)",3506
16075,"""Payette, (ID)""",199.6,"175.6 - 204.1 (644)",4146
16077,"""Power, (ID)""",135.1,"26.6 - 148.6 (644)",3272
16081,"""Teton, (ID)""",117.2,"26.6 - 148.6 (644)",3518
16083,"""Twin Falls, (ID)""",163.8,"148.7 - 175.5 (644)",5793
16087,"""Washington, (ID)""",168.8,"148.7 - 175.5 (644)",4118
32001,"""Churchill, (NV)""",260.4,"242.9 - 651.5 (644)",4780
32003,"""Clark, (NV)""",211.3,"204.2 - 242.8 (644)",6188
32005,"""Douglas, (NV)""",172.6,"148.7 - 175.5 (644)",5070
32007,"""Elko, (NV)""",157.6,"148.7 - 175.5 (644)",4776
32009,"""Esmeralda, (NV)""",186.5,"175.6 - 204.1 (644)",8758
32011,"""Eureka, (NV)""",231.4,"204.2 - 242.8 (644)",7252
32013,"""Humboldt, (NV)""",220.5,"204.2 - 242.8 (644)",6285
32015,"""Lander, (NV)""",230.2,"204.2 - 242.8 (644)",4291
32017,"""Lincoln, (NV)""",169.6,"148.7 - 175.5 (644)",3723
32019,"""Lyon, (NV)""",239.4,"204.2 - 242.8 (644)",5252
32021,"""Mineral, (NV)""",233.8,"204.2 - 242.8 (644)",6042
32023,"""Nye, (NV)""",252.9,"242.9 - 651.5 (644)",6238
32027,"""Pershing, (NV)""",246.4,"242.9 - 651.5 (644)",8528
32029,"""Storey, (NV)""",241.4,"204.2 - 242.8 (644)",4325
32031,"""Washoe, (NV)""",244.6,"242.9 - 651.5 (644)",5412
32033,"""White Pine, (NV)""",182.3,"175.6 - 204.1 (644)",5167
32510,"""Carson City, (NV)""",250.6,"242.9 - 651.5 (644)",5124
35003,"""Catron, (NM)""",231,"204.2 - 242.8 (644)",4924
35006,"""Cibola, (NM)""",192.9,"175.6 - 204.1 (644)",4736
35013,"""Do̱a Ana, (NM)""",154.6,"148.7 - 175.5 (644)",5362
35017,"""Grant, (NM)""",194.2,"175.6 - 204.1 (644)",4922
35023,"""Hidalgo, (NM)""",224.6,"204.2 - 242.8 (644)",5857
35029,"""Luna, (NM)""",255.2,"242.9 - 651.5 (644)",6657
35031,"""McKinley, (NM)""",172.9,"148.7 - 175.5 (644)",6533
35043,"""Sandoval, (NM)""",173.6,"148.7 - 175.5 (644)",4766
35045,"""San Juan, (NM)""",160.3,"148.7 - 175.5 (644)",5608
35051,"""Sierra, (NM)""",330.6,"242.9 - 651.5 (644)",6048
35053,"""Socorro, (NM)""",240.4,"204.2 - 242.8 (644)",4123
35061,"""Valencia, (NM)""",195.1,"175.6 - 204.1 (644)",4762
41023,"""Grant, (OR)""",156,"148.7 - 175.5 (644)",4785
41025,"""Harney, (OR)""",138.2,"26.6 - 148.6 (644)",2602
41045,"""Malheur, (OR)""",201.3,"175.6 - 204.1 (644)",4531
49001,"""Beaver, (UT)""",129.7,"26.6 - 148.6 (644)",4760
49003,"""Box Elder, (UT)""",201.6,"175.6 - 204.1 (644)",3391
49005,"""Cache, (UT)""",97.2,"26.6 - 148.6 (644)",4659
49007,"""Carbon, (UT)""",249.4,"242.9 - 651.5 (644)",4905
49009,"""Daggett, (UT)""",153.3,"148.7 - 175.5 (644)",5306
49011,"""Davis, (UT)""",132.1,"26.6 - 148.6 (644)",4151
49013,"""Duchesne, (UT)""",155.1,"148.7 - 175.5 (644)",3445
49015,"""Emery, (UT)""",219.5,"204.2 - 242.8 (644)",3629
49017,"""Garfield, (UT)""",138.1,"26.6 - 148.6 (644)",7614
49019,"""Grand, (UT)""",138.4,"26.6 - 148.6 (644)",4715
49021,"""Iron, (UT)""",120.5,"26.6 - 148.6 (644)",3510
49023,"""Juab, (UT)""",120.5,"26.6 - 148.6 (644)",5914
49025,"""Kane, (UT)""",162.1,"148.7 - 175.5 (644)",3728
49027,"""Millard, (UT)""",123,"26.6 - 148.6 (644)",3817
49029,"""Morgan, (UT)""",133.6,"26.6 - 148.6 (644)",4238
49031,"""Piute, (UT)""",151.7,"148.7 - 175.5 (644)",3376
49033,"""Rich, (UT)""",133.8,"26.6 - 148.6 (644)",6666
49035,"""Salt Lake, (UT)""",123.5,"26.6 - 148.6 (644)",4702
49037,"""San Juan, (UT)""",131.9,"26.6 - 148.6 (644)",5274
49039,"""Sanpete, (UT)""",139.8,"26.6 - 148.6 (644)",3768
49041,"""Sevier, (UT)""",144.5,"26.6 - 148.6 (644)",3602
49043,"""Summit, (UT)""",115.2,"26.6 - 148.6 (644)",3552
49045,"""Tooele, (UT)""",122.5,"26.6 - 148.6 (644)",5435
49047,"""Uintah, (UT)""",156.2,"148.7 - 175.5 (644)",5386
49049,"""Utah, (UT)""",121,"26.6 - 148.6 (644)",3958
49051,"""Wasatch, (UT)""",125.4,"26.6 - 148.6 (644)",3736
49053,"""Washington, (UT)""",101.8,"26.6 - 148.6 (644)",3119
49055,"""Wayne, (UT)""",147.2,"26.6 - 148.6 (644)",3372
49057,"""Weber, (UT)""",149.2,"148.7 - 175.5 (644)",3990
56003,"""Big Horn, (WY)""",209,"204.2 - 242.8 (644)",5037
56007,"""Carbon, (WY)""",149.2,"148.7 - 175.5 (644)",6323
56013,"""Fremont, (WY)""",183.2,"175.6 - 204.1 (644)",5759
56017,"""Hot Springs, (WY)""",180.9,"175.6 - 204.1 (644)",5000
56023,"""Lincoln, (WY)""",140,"26.6 - 148.6 (644)",4000
56025,"""Natrona, (WY)""",178.7,"175.6 - 204.1 (644)",5254
56029,"""Park, (WY)""",137.7,"26.6 - 148.6 (644)",5233
56035,"""Sublette, (WY)""",133.7,"26.6 - 148.6 (644)",4314
56037,"""Sweetwater, (WY)""",187.6,"175.6 - 204.1 (644)",5707
56039,"""Teton, (WY)""",78.3,"26.6 - 148.6 (644)",3648
56041,"""Uinta, (WY)""",153.3,"148.7 - 175.5 (644)",4483
56043,"""Washakie, (WY)""",149.5,"148.7 - 175.5 (644)",6345
22031,"""De Soto, (LA)""",177.5,"175.6 - 204.1 (644)",4627
48001,"""Anderson, (TX)""",202.1,"175.6 - 204.1 (644)",5622
48005,"""Angelina, (TX)""",228.3,"204.2 - 242.8 (644)",5407
48007,"""Aransas, (TX)""",240.8,"204.2 - 242.8 (644)",4745
48013,"""Atascosa, (TX)""",202.5,"175.6 - 204.1 (644)",4881
48015,"""Austin, (TX)""",237.1,"204.2 - 242.8 (644)",6269
48019,"""Bandera, (TX)""",167.7,"148.7 - 175.5 (644)",4071
48021,"""Bastrop, (TX)""",167.8,"148.7 - 175.5 (644)",4903
48025,"""Bee, (TX)""",192.6,"175.6 - 204.1 (644)",6255
48027,"""Bell, (TX)""",192.1,"175.6 - 204.1 (644)",5490
48029,"""Bexar, (TX)""",174.5,"148.7 - 175.5 (644)",4915
48031,"""Blanco, (TX)""",131,"26.6 - 148.6 (644)",3686
48035,"""Bosque, (TX)""",267.7,"242.9 - 651.5 (644)",3882
48039,"""Brazoria, (TX)""",189.5,"175.6 - 204.1 (644)",6199
48041,"""Brazos, (TX)""",142.2,"26.6 - 148.6 (644)",5052
48043,"""Brewster, (TX)""",120.8,"26.6 - 148.6 (644)",4635
48047,"""Brooks, (TX)""",207.9,"204.2 - 242.8 (644)",6599
48049,"""Brown, (TX)""",187.1,"175.6 - 204.1 (644)",5462
48051,"""Burleson, (TX)""",293.5,"242.9 - 651.5 (644)",6332
48053,"""Burnet, (TX)""",127.7,"26.6 - 148.6 (644)",4865
48055,"""Caldwell, (TX)""",226.3,"204.2 - 242.8 (644)",5055
48057,"""Calhoun, (TX)""",218.1,"204.2 - 242.8 (644)",5281
48061,"""Cameron, (TX)""",211.5,"204.2 - 242.8 (644)",6157
48071,"""Chambers, (TX)""",221.3,"204.2 - 242.8 (644)",6002
48073,"""Cherokee, (TX)""",220.7,"204.2 - 242.8 (644)",5174
48081,"""Coke, (TX)""",139.1,"26.6 - 148.6 (644)",3641
48083,"""Coleman, (TX)""",270.4,"242.9 - 651.5 (644)",6005
48089,"""Colorado, (TX)""",249.4,"242.9 - 651.5 (644)",4977
48091,"""Comal, (TX)""",165.9,"148.7 - 175.5 (644)",3788
48093,"""Comanche, (TX)""",303,"242.9 - 651.5 (644)",5319
48095,"""Concho, (TX)""",166.2,"148.7 - 175.5 (644)",3395
48099,"""Coryell, (TX)""",238.6,"204.2 - 242.8 (644)",5215
48103,"""Crane, (TX)""",217.4,"204.2 - 242.8 (644)",2123
48105,"""Crockett, (TX)""",495.7,"242.9 - 651.5 (644)",6437
48109,"""Culberson, (TX)""",211.2,"204.2 - 242.8 (644)",8460
48123,"""DeWitt, (TX)""",205.3,"204.2 - 242.8 (644)",5379
48127,"""Dimmit, (TX)""",156.3,"148.7 - 175.5 (644)",5385
48131,"""Duval, (TX)""",260.7,"242.9 - 651.5 (644)",4744
48135,"""Ector, (TX)""",305.2,"242.9 - 651.5 (644)",5055
48137,"""Edwards, (TX)""",181.2,"175.6 - 204.1 (644)",6516
48141,"""El Paso, (TX)""",157,"148.7 - 175.5 (644)",6336
48145,"""Falls, (TX)""",226.6,"204.2 - 242.8 (644)",6849
48149,"""Fayette, (TX)""",250.4,"242.9 - 651.5 (644)",4977
48157,"""Fort Bend, (TX)""",124.2,"26.6 - 148.6 (644)",5650
48161,"""Freestone, (TX)""",232.7,"204.2 - 242.8 (644)",5503
48163,"""Frio, (TX)""",250.3,"242.9 - 651.5 (644)",6214
48167,"""Galveston, (TX)""",162.4,"148.7 - 175.5 (644)",7409
48171,"""Gillespie, (TX)""",165.7,"148.7 - 175.5 (644)",4094
48173,"""Glasscock, (TX)""",260.8,"242.9 - 651.5 (644)",3114
48175,"""Goliad, (TX)""",193.1,"175.6 - 204.1 (644)",4812
48177,"""Gonzales, (TX)""",212.9,"204.2 - 242.8 (644)",4327
48185,"""Grimes, (TX)""",225.9,"204.2 - 242.8 (644)",5389
48187,"""Guadalupe, (TX)""",198.9,"175.6 - 204.1 (644)",4331
48193,"""Hamilton, (TX)""",163.6,"148.7 - 175.5 (644)",4281
48199,"""Hardin, (TX)""",217.4,"204.2 - 242.8 (644)",4004
48201,"""Harris, (TX)""",171,"148.7 - 175.5 (644)",6201
48209,"""Hays, (TX)""",148.3,"26.6 - 148.6 (644)",4293
48215,"""Hidalgo, (TX)""",206.9,"204.2 - 242.8 (644)",5793
48217,"""Hill, (TX)""",253.7,"242.9 - 651.5 (644)",5499
48225,"""Houston, (TX)""",276.8,"242.9 - 651.5 (644)",4066
48229,"""Hudspeth, (TX)""",160.7,"148.7 - 175.5 (644)",8874
48235,"""Irion, (TX)""",221.9,"204.2 - 242.8 (644)",2929
48239,"""Jackson, (TX)""",219.4,"204.2 - 242.8 (644)",5252
48241,"""Jasper, (TX)""",239.2,"204.2 - 242.8 (644)",4502
