"cnty_fips","display_name","Value","theme_range","ou_inc"
53049,"""Pacific, (WA)""",296.5,"242.9 - 651.5 (644)",4070
53053,"""Pierce, (WA)""",195.8,"175.6 - 204.1 (644)",2024
53055,"""San Juan, (WA)""",104.5,"26.6 - 148.6 (644)",3972
53057,"""Skagit, (WA)""",141.7,"26.6 - 148.6 (644)",3168
53059,"""Skamania, (WA)""",128,"26.6 - 148.6 (644)",3105
53061,"""Snohomish, (WA)""",144.6,"26.6 - 148.6 (644)",2321
53067,"""Thurston, (WA)""",150.8,"148.7 - 175.5 (644)",1762
53069,"""Wahkiakum, (WA)""",190.1,"175.6 - 204.1 (644)",2508
53073,"""Whatcom, (WA)""",143.3,"26.6 - 148.6 (644)",2407
53077,"""Yakima, (WA)""",134.9,"26.6 - 148.6 (644)",2988
04001,"""Apache, (AZ)""",187.2,"175.6 - 204.1 (644)",2801
04003,"""Cochise, (AZ)""",192.8,"175.6 - 204.1 (644)",2070
04005,"""Coconino, (AZ)""",160.8,"148.7 - 175.5 (644)",1873
04007,"""Gila, (AZ)""",210.6,"204.2 - 242.8 (644)",2472
04009,"""Graham, (AZ)""",170.3,"148.7 - 175.5 (644)",1694
04011,"""Greenlee, (AZ)""",197.4,"175.6 - 204.1 (644)",2125
04012,"""La Paz, (AZ)""",262.3,"242.9 - 651.5 (644)",3432
04013,"""Maricopa, (AZ)""",157.1,"148.7 - 175.5 (644)",1886
04015,"""Mohave, (AZ)""",327.3,"242.9 - 651.5 (644)",1990
04017,"""Navajo, (AZ)""",176.2,"175.6 - 204.1 (644)",2490
04019,"""Pima, (AZ)""",168.1,"148.7 - 175.5 (644)",1797
04021,"""Pinal, (AZ)""",141.4,"26.6 - 148.6 (644)",2130
04023,"""Santa Cruz, (AZ)""",165.6,"148.7 - 175.5 (644)",1776
04025,"""Yavapai, (AZ)""",173.1,"148.7 - 175.5 (644)",2175
04027,"""Yuma, (AZ)""",170.4,"148.7 - 175.5 (644)",2473
06003,"""Alpine, (CA)""",191.6,"175.6 - 204.1 (644)",4903
06019,"""Fresno, (CA)""",205.7,"204.2 - 242.8 (644)",1446
06025,"""Imperial, (CA)""",151.3,"148.7 - 175.5 (644)",2646
